,COSMIC_ID,DRUG_NAME,LN_IC50,AUC,RMSE,Z_SCORE
0,GDSC_0001,Erlotinib,1.5960569836134793,0.5789267873576293,0.1624074561769746,-0.13826430117118466
1,GDSC_0001,Rapamycin,1.3348495506401652,0.11646759543664197,0.4879639408647978,1.0105152848065264
2,GDSC_0001,Sunitinib,0.4366307368780575,0.24672360788274705,0.2216968971838151,0.5425600435859647
3,GDSC_0001,PHA-665752,-2.1350588152323215,0.5894823157779036,0.15579754426081674,0.9503696823969031
4,GDSC_0001,MG-132,-0.0896288906254533,0.728140769114411,0.1798695128633439,-1.4123037013352917
5,GDSC_0001,Paclitaxel,,,,
6,GDSC_0001,Cyclopamine,1.4730796262555212,0.23641929894983324,0.1260206371941118,-0.6002538501059117
7,GDSC_0001,AZ628,,,,
8,GDSC_0001,Sorafenib,,,,
9,GDSC_0001,VX-680,3.222733821410725,0.12751081689217472,0.46372816083151286,0.822544912103189
10,GDSC_0001,Imatinib,-0.46501237996522665,0.5160544169422486,0.31868411173731187,0.21863831605386247
11,GDSC_0001,TAE684,2.0581132467383325,0.1707940016415356,0.1783931449676581,-0.11564828238824053
12,GDSC_0001,Crizotinib,0.6386755652928535,0.31707922541911676,0.43149500366077176,-1.3466780973613461
13,GDSC_0001,Saracatinib,-0.056709519256527854,0.21273937997981013,0.4208787923016159,-0.6769220003059587
14,GDSC_0001,TGX221,,,,
15,GDSC_0001,Bortezomib,1.698547353655647,0.7170162773487566,0.12961786069363615,0.8877484595933572
16,GDSC_0001,XMD8-85,-0.0070610278671662105,0.5986385014620463,0.23235920994105969,-0.3092123758512146
17,GDSC_0001,HG-5-88-01,0.7867214544752138,0.6836849426704513,0.35502298854208525,-0.41038330868630046
18,GDSC_0001,XMD8-92,,,,
19,GDSC_0001,QL-XII-61,2.204239477470429,0.708628038893518,0.3245108790277985,-0.03582603910995153
20,GDSC_0002,Erlotinib,2.8775723869768073,0.44203281468683975,0.11016765069763808,-1.4187504585914028
21,GDSC_0002,Rapamycin,2.250989940807305,0.8260531791408745,0.19971689165954998,1.477894044741516
22,GDSC_0002,Sunitinib,0.37807573807162315,0.1615839278630344,0.21590058116550723,0.5014483315248052
23,GDSC_0002,PHA-665752,2.389823983518433,0.7429376615192916,0.17462802355441434,0.09707754934804039
24,GDSC_0002,MG-132,2.162373988639467,0.8168730399387947,0.22720138998874556,-0.2566301826925544
25,GDSC_0002,Paclitaxel,0.5586091310406865,0.7544118127379945,0.4442922333025374,0.0051134566424609
26,GDSC_0002,Cyclopamine,0.7184954399498231,0.27768624837658423,0.14794614693347313,0.45293632653350946
27,GDSC_0002,AZ628,0.8007269099787215,0.5150324973946929,0.38120758355807116,0.257550390722764
28,GDSC_0002,Sorafenib,0.9106649010805995,0.3014258366602913,0.29889940235695417,-1.072531834435658
29,GDSC_0002,VX-680,,,,
30,GDSC_0002,Imatinib,,,,
31,GDSC_0002,TAE684,3.9558905349823434,0.826612708773323,0.19582475626678897,-0.03471176970524331
32,GDSC_0002,Crizotinib,-0.4024136451434384,0.29364421720920036,0.36885421896235143,-0.7753361059569441
33,GDSC_0002,Saracatinib,1.9277690270670986,0.3942265061754026,0.3529223322374318,0.5868570938002703
34,GDSC_0002,TGX221,,,,
35,GDSC_0002,Bortezomib,0.40788102135600807,0.13262011324381115,0.33635717727529674,0.9231626083419529
36,GDSC_0002,XMD8-85,-0.8607961172793591,0.23949314320399318,0.3763750952409864,0.06856297480602733
37,GDSC_0002,HG-5-88-01,,,,
38,GDSC_0002,XMD8-92,0.806875147764324,0.19077881699247126,0.4698774473114251,-0.35674502576819417
39,GDSC_0002,QL-XII-61,1.6673461582407583,0.7537777601609728,0.322080324639785,-1.6074832345612275
40,GDSC_0003,Erlotinib,,,,
41,GDSC_0003,Rapamycin,-0.7280497372205574,0.6807645430961915,0.45884410398103087,1.1907272561136402
42,GDSC_0003,Sunitinib,1.300591420415052,0.1673119719960391,0.1646514856378455,0.34644820949697586
43,GDSC_0003,PHA-665752,,,,
44,GDSC_0003,MG-132,,,,
45,GDSC_0003,Paclitaxel,1.2097996143897656,0.6215690076020804,0.18970772378422393,-1.216854892359239
46,GDSC_0003,Cyclopamine,-0.16961800427278567,0.6971931240944194,0.35985315961888587,0.787084603742452
47,GDSC_0003,AZ628,1.5093834928677408,0.17493981426247399,0.24708632122377341,0.9405355849620096
48,GDSC_0003,Sorafenib,-0.06741731555062791,0.41447817973340834,0.45681862207084534,-0.8158102849654383
49,GDSC_0003,VX-680,2.4512583648239605,0.5615231077010873,0.29700707752754557,0.5379600036919956
50,GDSC_0003,Imatinib,1.7508008173180074,0.11945277314516307,0.35818891836286715,-0.8571575564162826
51,GDSC_0003,TAE684,0.8510411333420086,0.8708959816714024,0.44120378218694406,0.7403408179477382
52,GDSC_0003,Crizotinib,-0.016152461682085936,0.35353760412502216,0.167797098674437,-1.5148472246858646
53,GDSC_0003,Saracatinib,1.8521310884367443,0.556048936071492,0.1388705975083074,0.092478871551097
54,GDSC_0003,TGX221,1.0698504621351999,0.6926148942033636,0.3788062963981072,-1.142970297830623
55,GDSC_0003,Bortezomib,-0.15080971571213458,0.7474889243828109,0.4240453578716723,1.3820046041719432
56,GDSC_0003,XMD8-85,1.6180572235672572,0.6199711446222121,0.38078675090308134,3.8527314906547208
57,GDSC_0003,HG-5-88-01,1.278755389811686,0.40046636211195524,0.1375927759363476,0.17618092205232136
58,GDSC_0003,XMD8-92,0.4175637426050759,0.5341157077660613,0.21461650085131379,0.08187413938632256
59,GDSC_0003,QL-XII-61,,,,
60,GDSC_0004,Erlotinib,1.0962384550489774,0.38815251312901033,0.15082420506075392,1.560380141132879
61,GDSC_0004,Rapamycin,1.1542612000852974,0.5983123806552002,0.1341389859975072,0.04557183990381377
